Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price,region
,Agenție,1,,,,13,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,20,,,,95 m²,Cărămidă,229 000€,Chișinău_Ciocana
,Persoană fizică,,Individuală,,,9,Secundar,1,260 cm,Apartament cu living,Deschis,Apartament cu 1 cameră,16,Euroreparație,14 m²,14 m²,33 m²,Beton celular,65 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,1,,,,3,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 2 camere,8,Variantă albă,,,83 m²,Beton,77 190€,Comrat_Centru
,Agenție,Nu,,,Inamstro,9,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,11,Variantă albă,,,55 m²,Cărămidă,105 000€,Chișinău_Buiucani
,Agenție,,,,,14,Construcţii noi,,,,,Apartament cu 1 cameră,15,,,,54 m²,,93 800€,Chișinău_Râșcani
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 2 camere,9,Variantă albă,,,67 m²,Cărămidă,83 000€,Chișinău_Botanica
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 3 camere,2,Reparație cosmetică,,,47 m²,,170 000€,Chișinău_Centru
,Agenție,1,,,,16,Construcţii noi,2,,Apartament cu living,,Apartament cu 4 camere,17,Variantă albă,,,140 m²,,280 000€,Chișinău_Râșcani
,Persoană fizică,1,,,Solomon Construct Imobil,4,Construcţii noi,2,,Apartament cu living,Subterană,Apartament cu 3 camere,10,Variantă albă,,,86 m²,,129 960€,Chișinău_Botanica
,Persoană fizică,1,Brj (Brejnevka),,,2,Secundar,2,,,Deschis,Apartament cu 3 camere,5,Variantă albă,,,52 m²,Cotileț,77 800€,Chișinău_Botanica
,Agenție,,Individuală,,,7,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,17,Euroreparație,,,56 m²,,115 000€,Chișinău_Botanica
,Agenție,1,Individuală,,Basconslux,10,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,10,Euroreparație,,,64 m²,Beton celular,146 500€,Chișinău_Telecentru
,Agenție,Nu,,,,1,Secundar,1,,,Deschis,Apartament cu 1 cameră,2,Euroreparație,,,22 m²,Cotileț,38 900€,Chișinău_Centru
,Dezvoltator imobiliar,,,,NG Invest,8,Construcţii noi,,,,,Apartament cu 1 cameră,9,Variantă albă,,,46 m²,Cărămidă,45 500€,Chișinău_Durlești
,Agenție,2,,,,12,Construcţii noi,2,,,,Apartament cu 3 camere,17,Euroreparație,,,120 m²,,340 000€,Chișinău_Râșcani
,Persoană fizică,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,4,,,,67 m²,,139 000€,Chișinău_Centru
,Agenție,1,,,,6,Construcţii noi,1,280 cm,Apartament cu living,Deschis,Apartament cu 2 camere,6,,,64 m²,64 m²,,62 500€,Hîncești_Centru
,Agenție,1,,,Dansicons,7,Construcţii noi,2,,,,Apartament cu 3 camere,7,Euroreparație,,,75 m²,Combinat,129 500€,Chișinău_Telecentru
,Dezvoltator imobiliar,,,,,7,Secundar,1,0 cm,Apartament cu living,,Apartament cu 2 camere,7,Euroreparație,0 m²,0 m²,46 m²,,69 000€,Chișinău_Buiucani
,Agenție,,,,,9,Construcţii noi,2,,,,Apartament cu 2 camere,9,Euroreparație,,,93 m²,,220 000€,Chișinău_Centru
,Persoană fizică,,,,Poliprim Grup,4,Construcţii noi,,,Apartament cu living,Subterană,Apartament cu 2 camere,10,Variantă albă,,,65 m²,Combinat,62 000€,Chișinău_Durlești
,Agenție,1,Individuală,,Sky House,4,Construcţii noi,1,280 cm,Apartament fără living,,Apartament cu 1 cameră,10,Euroreparație,10 m²,32 m²,35 m²,Beton celular,64 000€,Chișinău_Botanica
,Agenție,2,,,,6,Construcţii noi,1,,,,Apartament cu 2 camere,12,Variantă albă,,,69 m²,,94 146€,Chișinău_Botanica
,Agenție,1,Individuală,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,6,Euroreparație,,,80 m²,,129 000€,Chișinău_Botanica
,Agenție,,,,,4,Secundar,,,,,O cameră,5,,,,18 m²,,32 900€,Chișinău_Buiucani
,Persoană fizică,,,,,12,Construcţii noi,,,,,Apartament cu 1 cameră,15,,,,40 m²,,108 000€,Chișinău_Botanica
,Agenție,1,Individuală,,,7,Secundar,2,,,Deschis,Apartament cu 2 camere,9,Fără reparație,,,54 m²,,99 000€,Chișinău_Botanica
,Agenție,Nu,102,,,2,Secundar,1,,Apartament cu living,Deschis,Apartament cu 2 camere,5,Euroreparație,,,60 m²,,119 000€,Chișinău_Buiucani
,Persoană fizică,2,135,,,7,Secundar,2,,,,Apartament cu 4 camere,9,Are nevoie de reparație,,,82 m²,,97 000€,Chișinău_Sculeni
,Agenție,2,135,,,1,Secundar,2,,,Deschis,Apartament cu 2 camere,9,Euroreparație,,,71 m²,Panou,105 000€,Chișinău_Ciocana
,Agenție,1,,,Exfactor-grup,1,Construcţii noi,2,,,,Apartament cu 3 camere,10,Euroreparație,,,86 m²,,215 000€,Chișinău_Centru
,Dezvoltator imobiliar,1,,,,1,Secundar,2,3000 cm,,Garaj,Apartament cu 5 camere sau mai multe,2,,,210 m²,160 m²,Cotileț,37 000€,Florești_Centru
,Agenție,,,,,12,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,13,,0 m²,0 m²,65 m²,,180 000€,Chișinău_Ciocana
,Dezvoltator imobiliar,2,,,,3,Construcţii noi,,275 cm,Apartament cu living,Subterană,Apartament cu 3 camere,9,Variantă albă,,,84 m²,Cărămidă,106 650€,Chișinău_Botanica
,Agenție,1,Individuală,,,9,Construcţii noi,1,,,,Apartament cu 2 camere,11,Euroreparație,,,65 m²,,183 900€,Chișinău_Râșcani
,Persoană fizică,1,Individuală,,Inamstro,5,Construcţii noi,1,,,,Apartament cu 1 cameră,8,Variantă albă,,,49 m²,Cărămidă,172 000€,Chișinău_Centru
