Animale,Autorul anunțului,Balcon/ lojie,Compartimentare,Copii,Dezvoltator,Etaj,Fond locativ,Grup sanitar,Inălțimea tavanelor,Living,Loc de parcare,Număr de camere,Număr de etaje,Starea apartamentului,Suprafață bucătărie,Suprafață locativă,Suprafață totală,Tip clădire,price
,Persoană fizică,Nu,,,Kirsan,7,Construcţii noi,1,,Apartament fără living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,44 m²,44 m²,Combinat,105 000€
,Agenție,,,,,2,Secundar,,,,,Apartament cu 4 camere,2.0,Design individual,,,130 m²,,97 000€
,Persoană fizică,,,,,9,Construcţii noi,,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,0 m²,0 m²,60 m²,,155 000€
,Dezvoltator imobiliar,1,,,,2,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,4.0,Euroreparație,,,46 m²,Combinat,71 000€
Se acceptă animale,Persoană fizică,2,Individuală,Se acceptă copii,,5,Secundar,1,250 cm,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,15 m²,60 m²,60 m²,Cotileț,35 999€
,Dezvoltator imobiliar,,,,,2,Secundar,,,,,Apartament cu 3 camere,10.0,,,,70 m²,,87 000€
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,5,Construcţii noi,2,,Apartament fără living,Deschis,Apartament cu 2 camere,8.0,Euroreparație,,,58 m²,,122 000€
,Agenție,1,,,,6,Secundar,1,,,,Apartament cu 1 cameră,9.0,Reparație cosmetică,,,36 m²,Panou,37 800€
,Agenție,1,,,,8,Secundar,,,,,Apartament cu 3 camere,9.0,Euroreparație,,,73 m²,,144 900€
,Agenție,Nu,Individuală,,,8,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,8.0,Euroreparație,,,97 m²,,140 000€
,Agenție,1,143,,,6,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,9.0,,,55 m²,55 m²,,120 000€
,Agenție,,,,,11,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,16.0,Euroreparație,,,65 m²,,124 900€
,Agenție,1,,,Inamstro,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,76 m²,,159 000€
,Agenție,1,,,,7,Construcţii noi,2,,,,Apartament cu 2 camere,11.0,Euroreparație,,,85 m²,,119 000€
,Persoană fizică,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,7.0,,,,70 m²,,175 000€
,Agenție,1,,,,4,Secundar,1,0 cm,,Deschis,Apartament cu 2 camere,5.0,Euroreparație,0 m²,0 m²,45 m²,,89 900€
,Agenție,1,,,,5,Secundar,1,,,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,,,39 m²,,50 000€
,Persoană fizică,,,,,1,Secundar,,,,,Apartament cu 1 cameră,2.0,,,,28 m²,,25 000€
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,5,Secundar,1,0 cm,Apartament fără living,Deschis,Apartament cu 1 cameră,9.0,Euroreparație,0 m²,0 m²,20 m²,,36 500€
,Agenție,1,,,,8,Construcţii noi,1,,,,Apartament cu 2 camere,12.0,Variantă albă,,,107 m²,,220 000€
Fără animale,Agenție,2,Individuală,Se acceptă copii,,2,Secundar,1,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,60 m²,,94 000€
,Agenție,1,,,,1,Construcţii noi,2,,,,Apartament cu 3 camere,12.0,Variantă albă,,,92 m²,,134 100€
,Persoană fizică,,102,,,4,Secundar,,,Apartament cu living,,Apartament cu 3 camere,5.0,Euroreparație,,,70 m²,Cotileț,109 900€
,Persoană fizică,,,,,6,Construcţii noi,,,,,Apartament cu 1 cameră,9.0,,,,36 m²,,50 900€
,Agenție,1,Individuală,,,2,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Euroreparație,,,70 m²,,100 000€
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,4.0,Euroreparație,,,73 m²,,114 900€
,Persoană fizică,,,,,1,Secundar,,,,,Apartament cu 3 camere,5.0,,,,67 m²,,87 000€
,Dezvoltator imobiliar,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9.0,Euroreparație,,,73 m²,,165 000€
,Agenție,,,,,5,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,23.0,Euroreparație,,85 m²,85 m²,,265 000€
,Agenție,,,,,3,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,15.0,,,,92 m²,,270 000€
,Agenție,1,,,Eldorado Terra,8,Construcţii noi,2,,Apartament cu living,,Apartament cu 2 camere,17.0,Euroreparație,,,85 m²,,254 000€
,Agenție,1,Brj (Brejnevka),,,3,Secundar,,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,46 m²,Cotileț,74 900€
,Agenție,Nu,,,,2,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Euroreparație,,,50 m²,,145 000€
,Agenție,,,,Inamstro,5,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,10.0,Euroreparație,,,89 m²,,225 000€
,Dezvoltator imobiliar,1,,,,6,Construcţii noi,1,,Apartament fără living,,Apartament cu 1 cameră,10.0,Euroreparație,,,38 m²,Monolit,93 000€
,Dezvoltator imobiliar,,,,,8,Secundar,,,,,Apartament cu 1 cameră,9.0,Euroreparație,,,40 m²,,85 000€
,Agenție,1,Individuală,,Lagmar Impex,7,Construcţii noi,2,,,Deschis,Apartament cu 4 camere,8.0,Construcție nefinisată,,,91 m²,Beton celular,95 550€
,Dezvoltator imobiliar,1,,,Exfactor-grup,2,Construcţii noi,2,300 cm,Apartament cu living,Subterană,Apartament cu 2 camere,17.0,Euroreparație,,,65 m²,,155 900€
,Agenție,1,Individuală,,Basconslux,2,Construcţii noi,1,280 cm,Apartament cu living,,Apartament cu 2 camere,11.0,Euroreparație,25 m²,90 m²,90 m²,Combinat,195 000€
,Agenție,1,,,,8,Secundar,1,,,Deschis,Apartament cu 1 cameră,13.0,Reparație cosmetică,,,28 m²,,49 500€
,Agenție,,,,,9,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 2 camere,15.0,Euroreparație,,,81 m²,,245 000€
,Dezvoltator imobiliar,3,143,,,6,Secundar,2,260 cm,,Deschis,Apartament cu 3 camere,9.0,Euroreparație,12 m²,55 m²,76 m²,Panou,86 400€
,Agenție,,,,,3,Construcţii noi,,,Apartament cu living,Deschis,Apartament cu 1 cameră,7.0,Euroreparație,,,47 m²,,115 000€
,Dezvoltator imobiliar,1,Individuală,,Inamstro,7,Construcţii noi,2,290 cm,Apartament cu living,Deschis,Apartament cu 3 camere,12.0,Variantă albă,20 m²,50 m²,82 m²,Combinat,185 500€
,Agenție,,,,,10,Construcţii noi,1,,,,Apartament cu 2 camere,11.0,Euroreparație,,,74 m²,,165 000€
,Agenție,,,,,1,Secundar,,,,,Apartament cu 2 camere,5.0,,,,44 m²,,44 900€
Cu acordul stăpânului,Persoană fizică,1,Individuală,Cu acordul stăpânului,Moldconstruct Service,4,Secundar,1,0 cm,Apartament fără living,Deschis,Apartament cu 2 camere,4.0,Design individual,0 m²,0 m²,52 m²,Cotileț,390€
,Agenție,1,,,,4,Construcţii noi,1,0 cm,,,Apartament cu 2 camere,7.0,Variantă albă,0 m²,0 m²,50 m²,,75 000€
,Persoană fizică,,,,Inamstro,5,Construcţii noi,,0 cm,Apartament cu living,Subterană,Apartament cu 2 camere,10.0,Euroreparație,0 m²,0 m²,70 m²,,174 900€
,Dezvoltator imobiliar,,143,,,8,Secundar,,270 cm,,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,12 m²,16 m²,45 m²,Panou,87 000€
,Agenție,1,Individuală,,,3,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,6.0,Variantă albă,,,68 m²,Cărămidă,64 000€
,Agenție,1,,,,1,Secundar,1,0 cm,,,Apartament cu 1 cameră,5.0,Euroreparație,0 m²,0 m²,38 m²,,75 000€
,Persoană fizică,,,,Stejarii,5,Construcţii noi,1,0 cm,,Deschis,Apartament cu 2 camere,8.0,Variantă albă,0 m²,60 m²,60 m²,Cărămidă,75 000€
,Agenție,1,,,,1,Construcţii noi,1,,,,Apartament cu 2 camere,10.0,Euroreparație,,,52 m²,,123 000€
Se acceptă animale,Agenție,2,,Se acceptă copii,,8,Secundar,2,,Apartament fără living,Deschis,Apartament cu 3 camere,9.0,Reparație cosmetică,,,70 m²,,105 000€
,Dezvoltator imobiliar,,,Se acceptă copii,,5,Construcţii noi,,,Apartament fără living,,Apartament cu 3 camere,11.0,Reparație cosmetică,,,80 m²,,139 989€
,Agenție,,,,Lagmar Impex,2,Construcţii noi,,,,,Apartament cu 2 camere,14.0,,,,68 m²,,76 440€
,Agenție,,,,,13,Construcţii noi,,,,,Apartament cu 1 cameră,16.0,Euroreparație,,,53 m²,Cărămidă,125 000€
,Agenție,2,,,,12,Construcţii noi,2,,,,Apartament cu 3 camere,17.0,Euroreparație,,,120 m²,,330 000€
,Agenție,Nu,,,Inamstro,3,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,11.0,Euroreparație,,,90 m²,Cărămidă,248 000€
,Agenție,,,,,2,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,10.0,,,,75 m²,,255 000€
,Persoană fizică,2,143,,,8,Secundar,,,Apartament cu living,,Apartament cu 3 camere,9.0,,,,72 m²,,112 000€
,Agenție,Nu,,,,4,Secundar,1,,Apartament fără living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,,,46 m²,,80 900€
,Agenție,,,,,7,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 3 camere,14.0,Euroreparație,,,77 m²,,198 000€
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 2 camere,5.0,,,,46 m²,,50 500€
,Persoană fizică,1,Individuală,,,5,Secundar,1,2880 cm,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Variantă albă,33 m²,30 m²,80 m²,Cotileț,119 000€
,Agenție,1,,,,2,Secundar,2,,,Deschis,Apartament cu 2 camere,9.0,Euroreparație,,,59 m²,,88 000€
,Dezvoltator imobiliar,1,,,Dansicons,2,Construcţii noi,1,285 cm,Apartament fără living,,Apartament cu 1 cameră,12.0,Reparație cosmetică,11 m²,22 m²,62 m²,Cotileț,94 000€
,Agenție,,Pe pămănt,,,1,Secundar,,,,,Apartament cu 2 camere,1.0,,,,52 m²,Cotileț,74 000€
,Agenție,1,Individuală,,,5,Construcţii noi,1,,,Subterană,Apartament cu 3 camere,9.0,Variantă albă,10 m²,88 m²,88 m²,Cărămidă,96 900€
,Agenție,,,,Dansicons,9,Construcţii noi,2,0 cm,,,Apartament cu 3 camere,10.0,Euroreparație,0 m²,0 m²,230 m²,,450 000€
,Agenție,1,,,Lagmar Impex,3,Construcţii noi,1,0 cm,,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,0 m²,41 m²,41 m²,Beton,50 020€
,Dezvoltator imobiliar,,,,,4,Secundar,,0 cm,,,Apartament cu 1 cameră,5.0,,0 m²,0 m²,34 m²,,56 000€
Se acceptă animale,Persoană fizică,1,Individuală,Se acceptă copii,Exfactor-grup,2,Construcţii noi,2,240 cm,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Design individual,,,73 m²,Combinat,149 000€
,Agenție,1,,,Exfactor-grup,1,Construcţii noi,2,,,,Apartament cu 3 camere,10.0,Euroreparație,,,86 m²,,215 000€
Cu acordul stăpânului,Agenție,,Individuală,Cu acordul stăpânului,,5,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,11.0,Euroreparație,,,42 m²,,115 000€
,Agenție,,,,Inamstro,12,Construcţii noi,1,,Apartament cu living,,Apartament cu 2 camere,13.0,Euroreparație,,,63 m²,,159 900€
,Persoană fizică,1,Individuală,,,6,Secundar,1,,,,Apartament cu 2 camere,6.0,Euroreparație,,,49 m²,Cotileț,80 000€
,Agenție,1,Individuală,,,16,Construcţii noi,2,,,Deschis,Apartament cu 5 camere sau mai multe,17.0,Euroreparație,,,125 m²,Combinat,220 000€
,Agenție,3,Individuală,,,2,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,20.0,Euroreparație,,,98 m²,,135 000€
,Agenție,,,,,12,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,12.0,,,,65 m²,,180 000€
,Agenție,2,,,,5,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,7.0,Variantă albă,,,79 m²,,64 000€
,Agenție,,,,,2,Construcţii noi,,,,,Apartament cu 2 camere,10.0,,,,60 m²,,60 450€
,Agenție,1,Individuală,,,1,Construcţii noi,1,,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Euroreparație,14 m²,52 m²,52 m²,Cărămidă,126 900€
,Dezvoltator imobiliar,,,,,14,Construcţii noi,,,,,Apartament cu 2 camere,16.0,Variantă albă,,,75 m²,,86 250€
,Dezvoltator imobiliar,,Pe pămănt,,,1,Secundar,1,,,,Apartament cu 4 camere,1.0,Euroreparație,,92 m²,92 m²,Cotileț,101 200€
,Agenție,1,Individuală,,,4,Construcţii noi,1,0 cm,,Deschis,Apartament cu 1 cameră,12.0,Variantă albă,,,46 m²,,54 054€
,Agenție,1,Individuală,,,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,9.0,Variantă albă,,,97 m²,,82 900€
,Agenție,,,,,11,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,63 m²,,120 000€
,Agenție,1,,,,1,Construcţii noi,1,,,,Apartament cu 2 camere,8.0,Euroreparație,,,55 m²,,95 000€
,Agenție,Nu,Individuală,,,8,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,59 m²,,165 000€
,Agenție,3,Varț (Varnițkaia),,,9,Secundar,2,,,Deschis,Apartament cu 3 camere,9.0,Reparație cosmetică,,,72 m²,Panou,84 900€
,Agenție,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,9.0,,,,60 m²,,112 000€
,Dezvoltator imobiliar,1,,,,4,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,5.0,Design individual,,141 m²,141 m²,Cotileț,310 000€
,Dezvoltator imobiliar,,,,,3,Secundar,,,,,Apartament cu 2 camere,15.0,Fără reparație,,,42 m²,Beton,38 500€
,Agenție,Nu,,,,4,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,6.0,Euroreparație,,,44 m²,,76 500€
,Agenție,,,,Astercon,8,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,9.0,Euroreparație,,,44 m²,,104 000€
,Agenție,1,,,,2,Secundar,1,,,,Apartament cu 2 camere,6.0,Euroreparație,,,47 m²,Cotileț,98 000€
,Agenție,1,Individuală,,,7,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,12.0,Euroreparație,,,73 m²,,170 000€
,Persoană fizică,,,,,2,Secundar,,,,,Apartament cu 3 camere,3.0,Euroreparație,,,75 m²,,65 000€
,Agenție,1,102,,,4,Secundar,2,,,Deschis,Apartament cu 3 camere,5.0,Reparație cosmetică,,,70 m²,,87 900€
,Agenție,1,Individuală,,,9,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,12.0,Design individual,,,58 m²,Combinat,173 000€
,Agenție,1,,,,3,Secundar,,,,Deschis,Apartament cu 2 camere,3.0,,,,48 m²,Cotileț,83 000€
,Agenție,,,,Exfactor-grup,3,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,9.0,Euroreparație,,,88 m²,Cărămidă,250 000€
,Persoană fizică,,,,,2,Secundar,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,0 m²,0 m²,85 m²,Cotileț,85 000€
,Agenție,,,,,3,Secundar,,,,,Apartament cu 1 cameră,5.0,Reparație cosmetică,,,33 m²,Cotileț,31 500€
,Agenție,1,,,,5,Secundar,1,,,Deschis,O cameră,5.0,Euroreparație,,,27 m²,Cotileț,35 900€
,Agenție,,,,,10,Secundar,,,,,Apartament cu 3 camere,16.0,,,,70 m²,,160 000€
,Dezvoltator imobiliar,1,,,,9,Construcţii noi,2,,,,Apartament cu 4 camere,9.0,,,,99 m²,,118 310€
,Persoană fizică,,,,,7,Construcţii noi,,0 cm,,,Apartament cu 3 camere,7.0,,0 m²,0 m²,150 m²,,150 000€
,Dezvoltator imobiliar,,,,,4,Construcţii noi,,,Apartament cu living,,Apartament cu 1 cameră,7.0,,,,45 m²,,40 500€
,Agenție,1,Individuală,,,8,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,9.0,Variantă albă,,,75 m²,,142 500€
,Persoană fizică,,,,,4,Secundar,,,,,Apartament cu 2 camere,5.0,,,,50 m²,Cotileț,40 000€
,Agenție,,,,,7,Construcţii noi,2,,,,Apartament cu 3 camere,9.0,Euroreparație,,,90 m²,,156 000€
,Agenție,1,Brj (Brejnevka),,,3,Secundar,1,,,Deschis,Apartament cu 2 camere,5.0,Reparație cosmetică,,,45 m²,,86 000€
,Persoană fizică,,,,,2,Secundar,,0 cm,,,Apartament cu 2 camere,9.0,,0 m²,0 m²,57 m²,,107 000€
,Agenție,,,,,1,Construcţii noi,,,,,Apartament cu 2 camere,6.0,Variantă albă,,,73 m²,,64 900€
,Agenție,1,,,,9,Construcţii noi,2,,,,Apartament cu 2 camere,14.0,Variantă albă,,,69 m²,,123 000€
,Agenție,,,,,9,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 1 cameră,10.0,,0 m²,0 m²,46 m²,,118 000€
,Agenție,1,Individuală,,,21,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,21.0,Variantă albă,,,115 m²,Combinat,179 900€
,Persoană fizică,,,,,7,Secundar,1,275 cm,,Deschis,Apartament cu 2 camere,7.0,Euroreparație,,,46 m²,Cotileț,69 000€
,Agenție,,,,,4,Secundar,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,50 m²,,100 900€
,Agenție,,,,,3,Construcţii noi,,,,,Apartament cu 1 cameră,11.0,,,,43 m²,,61 300€
,Agenție,,,,,8,Secundar,,,,,Apartament cu 3 camere,9.0,,,,68 m²,,92 000€
,Agenție,,Individuală,,,1,Secundar,1,,,Deschis,Apartament cu 2 camere,1.0,Euroreparație,,,40 m²,,82 500€
,Agenție,1,,,,1,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 2 camere,10.0,Euroreparație,,,68 m²,,164 000€
,Agenție,1,Individuală,,,3,Secundar,1,,,Deschis,Apartament cu 3 camere,4.0,Euroreparație,,,60 m²,,93 002€
,Persoană fizică,1,,,,2,Construcţii noi,1,,,,Apartament cu 2 camere,5.0,Variantă albă,,72 m²,72 m²,,91 712€
,Agenție,,,,Lagmar Impex,3,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,14.0,Euroreparație,,,75 m²,,165 000€
,Agenție,1,,,Exfactor-grup,1,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,11.0,Euroreparație,,,53 m²,Cărămidă,127 900€
,Persoană fizică,,,,,2,Secundar,,,,Deschis,Apartament cu 2 camere,9.0,Design individual,,,54 m²,,124 000€
,Persoană fizică,2,Individuală,,,1,Construcţii noi,2,,,,Apartament cu 3 camere,14.0,Euroreparație,,50 m²,101 m²,Cotileț,209 900€
,Agenție,,,,,3,Construcţii noi,,,,,Apartament cu 3 camere,10.0,,,,67 m²,,144 900€
,Agenție,Nu,Individuală,,,7,Construcţii noi,1,,,Deschis,Apartament cu 3 camere,10.0,Variantă albă,,,83 m²,,89 900€
,Dezvoltator imobiliar,,,,,2,Construcţii noi,,,,,Apartament cu 2 camere,11.0,Euroreparație,,,61 m²,,115 000€
,Dezvoltator imobiliar,,,,Dansicons,3,Construcţii noi,,,,,Apartament cu 1 cameră,6.0,,,,41 m²,,37 700€
,Dezvoltator imobiliar,2,,,Boiar House,2,Construcţii noi,2,,,,Apartament cu 3 camere,10.0,Construcție nefinisată,19 m²,,99 m²,,89 640€
,Agenție,1,,,,6,Construcţii noi,1,,,,Apartament cu 1 cameră,10.0,Euroreparație,,,43 m²,,94 500€
,Dezvoltator imobiliar,1,Pe pămănt,,Art Urban Grup,1,Construcţii noi,1,3 cm,Apartament cu living,Deschis,Apartament cu 3 camere,1.0,Euroreparație,22 m²,95 m²,110 m²,Combinat,288 000€
,Agenție,1,,,,3,Construcţii noi,2,,,,Apartament cu 3 camere,12.0,Variantă albă,,,76 m²,,135 900€
,Dezvoltator imobiliar,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 3 camere,15.0,,,,76 m²,,244 900€
,Agenție,,,,,4,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,42 m²,,98 500€
,Persoană fizică,2,,,Inamstro,6,Construcţii noi,,,,Deschis,Apartament cu 3 camere,6.0,Variantă albă,,,94 m²,Cărămidă,179 900€
,Persoană fizică,1,,,Inamstro,3,Construcţii noi,1,,,,O cameră,9.0,Variantă albă,,39 m²,39 m²,Cărămidă,90 000€
,Agenție,1,,,,9,Construcţii noi,2,,,Subterană,Apartament cu 3 camere,14.0,Euroreparație,,,77 m²,,245 000€
,Agenție,1,,,,5,Construcţii noi,1,,,,Apartament cu 2 camere,10.0,Euroreparație,,,75 m²,,175 000€
,Agenție,Nu,,,,3,Construcţii noi,2,,,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,50 m²,,98 000€
,Agenție,,Individuală,,,15,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,16.0,Variantă albă,,,79 m²,,127 000€
,Agenție,1,,,,3,Construcţii noi,2,,,Deschis,Apartament cu 3 camere,9.0,Variantă albă,,65 m²,65 m²,,68 000€
Fără animale,Agenție,Nu,Individuală,Se acceptă copii,,5,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,12.0,Euroreparație,,,37 m²,,117 000€
,Persoană fizică,,,,AlimConstruct Grup,3,Construcţii noi,1,,,,Apartament cu 3 camere,7.0,Variantă albă,,,101 m²,,215 000€
,Agenție,1,Individuală,,Lagmar Impex,2,Construcţii noi,1,,,Deschis,Apartament cu 2 camere,16.0,Euroreparație,,,111 m²,Beton celular,229 500€
,Dezvoltator imobiliar,3,,,,8,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,8.0,Variantă albă,,,140 m²,,152 500€
,Agenție,1,,,,1,Construcţii noi,1,,Apartament cu living,,Apartament cu 1 cameră,6.0,Variantă albă,,40 m²,40 m²,Monolit,52 832€
,Agenție,,Ms (serie  moldovenească),,,9,Secundar,,,,,Apartament cu 3 camere,10.0,,,,80 m²,,94 900€
Cu acordul stăpânului,Agenție,,,Cu acordul stăpânului,,3,Construcţii noi,2,,Apartament cu living,,Apartament cu 1 cameră,10.0,Euroreparație,,,74 m²,,230 000€
,Agenție,1,,,,1,Construcţii noi,1,0 cm,,Deschis,Apartament cu 1 cameră,14.0,Euroreparație,0 m²,0 m²,60 m²,,120 000€
,Persoană fizică,,Individuală,,,12,Construcţii noi,2,350 cm,Apartament cu living,Deschis,Apartament cu 2 camere,15.0,Euroreparație,,54 m²,54 m²,Cotileț,78 000€
,Agenție,1,Individuală,,,7,Construcţii noi,1,,,Subterană,Apartament cu 2 camere,10.0,Variantă albă,,,50 m²,Monolit,68 000€
,Persoană fizică,3,Individuală,,Dansicons,11,Construcţii noi,2,3200 cm,,Subterană,Apartament cu 2 camere,13.0,Design individual,,,132 m²,,330 000€
,Dezvoltator imobiliar,1,Individuală,,,4,Construcţii noi,1,250 cm,,Deschis,Apartament cu 1 cameră,10.0,Variantă albă,12 m²,20 m²,40 m²,Monolit,52 000€
Cu acordul stăpânului,Dezvoltator imobiliar,,,Cu acordul stăpânului,,1,Secundar,,,,,O cameră,1.0,,,,24 m²,,25 500€
,Agenție,,,,,1,Construcţii noi,,,,,Apartament cu 2 camere,4.0,Euroreparație,,,54 m²,,105 000€
,Agenție,1,,,,5,Construcţii noi,,0 cm,Apartament cu living,,Apartament cu 2 camere,10.0,Euroreparație,0 m²,0 m²,63 m²,,114 900€
,Persoană fizică,3,Individuală,,,5,Construcţii noi,2,250 cm,Apartament cu living,Subterană,Apartament cu 5 camere sau mai multe,6.0,Variantă sură,15 m²,,153 m²,,2 000€
,Persoană fizică,,135,,,6,Secundar,,,,,Apartament cu 3 camere,9.0,,,,67 m²,Beton,89 900€
,Agenție,1,Individuală,,,5,Secundar,1,0 cm,Apartament cu living,Deschis,Apartament cu 2 camere,5.0,Euroreparație,0 m²,52 m²,52 m²,,96 900€
,Agenție,2,,,,7,Construcţii noi,1,,,,Apartament cu 1 cameră,14.0,Euroreparație,,,47 m²,,104 900€
,Agenție,,,,,15,Construcţii noi,,,Apartament fără living,,Apartament cu 1 cameră,16.0,Variantă albă,,,43 m²,,70 000€
,Agenție,1,,,Astercon,3,Construcţii noi,1,,,,Apartament cu 1 cameră,9.0,Variantă albă,,,40 m²,,66 900€
,Dezvoltator imobiliar,1,,,Lagmar Impex,8,Construcţii noi,1,270 cm,Apartament cu living,Subterană,Apartament cu 1 cameră,9.0,Variantă albă,12 m²,,41 m²,,51 500€
,Agenție,1,,,Exfactor-grup,8,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,49 m²,,124 000€
,Agenție,,,,,9,Construcţii noi,,,Apartament cu living,,Apartament cu 2 camere,11.0,Euroreparație,,,64 m²,,187 900€
,Persoană fizică,1,Brj (Brejnevka),,,4,Secundar,2,2700 cm,,Sub acoperiș,Apartament cu 2 camere,5.0,Euroreparație,,,53 m²,Cotileț,87 400€
,Agenție,,,,,4,Construcţii noi,,,,,Apartament cu 2 camere,5.0,Euroreparație,,,47 m²,,59 900€
,Persoană fizică,1,Rubaşka,,,3,Construcţii noi,2,,,,Apartament cu 2 camere,9.0,,,,74 m²,Cărămidă,200 000€
,Dezvoltator imobiliar,1,,,,6,Secundar,1,0 cm,,Deschis,Apartament cu 1 cameră,9.0,Reparație cosmetică,0 m²,0 m²,42 m²,Beton celular,67 700€
,Agenție,,102,,,5,Secundar,,,,,Apartament cu 2 camere,7.0,Euroreparație,,,43 m²,,96 500€
Se acceptă animale,Agenție,Nu,,Se acceptă copii,,1,Secundar,1,,Apartament cu living,Deschis,Apartament cu 3 camere,2.0,Reparație cosmetică,,,47 m²,,170 000€
,Agenție,1,Individuală,,,2,Construcţii noi,1,,,Deschis,Apartament cu 1 cameră,5.0,Euroreparație,,,38 m²,Cotileț,89 900€
,Agenție,1,Individuală,,,10,Construcţii noi,2,,,Deschis,Apartament cu 2 camere,15.0,Variantă albă,,,69 m²,,121 000€
Se acceptă animale,Agenție,1,,Se acceptă copii,,4,Construcţii noi,1,,Apartament cu living,Deschis,Apartament cu 1 cameră,10.0,Euroreparație,,,86 m²,,159 900€
,Persoană fizică,,,,Dansicons,5,Secundar,1,3000 cm,Apartament cu living,Deschis,Apartament cu 2 camere,14.0,Euroreparație,40 m²,,61 m²,Combinat,138 900€
,Agenție,2,,,,3,Construcţii noi,1,,,,Apartament cu 1 cameră,16.0,Variantă albă,,,47 m²,,79 900€
Se acceptă animale,Agenție,,,Se acceptă copii,,5,Secundar,,,,,Apartament cu 2 camere,11.0,,,,50 m²,,30 000€
,Persoană fizică,,,,,3,Secundar,,,,,Apartament cu 2 camere,5.0,Reparație cosmetică,,,35 m²,,55 900€
,Agenție,2,,,AMIC,4,Construcţii noi,2,,Apartament cu living,Deschis,Apartament cu 3 camere,10.0,Euroreparație,,,95 m²,Cotileț,187 650€
