Autorul anunțului,Număr de camere,Living,Suprafață totală,Fond locativ,Etaj,Număr de etaje,Starea apartamentului,Grup sanitar,Loc de parcare,price,Balcon/ lojie,Compartimentare,Dezvoltator,Tip clădire,Copii,Animale,Suprafață locativă,Suprafață bucătărie,Inălțimea tavanelor
Agenție,Apartament cu 1 cameră,,23 m²,Secundar,9,9,Euroreparație,1,Deschis,39 900€,Nu,135,,Panou,,,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,Apartament cu living,48 m²,Construcţii noi,15,20,,,,600€,,,,,Fără copii,Fără animale,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,57 m²,Construcţii noi,1,6,,,,134 900€,,,,,,,,,
Agenție,Apartament cu 3 camere,Apartament cu living,139 m²,Secundar,9,10,Reparație cosmetică,2,Deschis,130 000€,1,,,,,,,,
Agenție,Apartament cu 1 cameră,,36 m²,Secundar,2,5,Euroreparație,,Deschis,500MDL,1,Individuală,,Cotileț,Se acceptă copii,Fără animale,33 m²,,250 cm
Agenție,Apartament cu 3 camere,Apartament cu living,93 m²,Construcţii noi,5,9,,,,215 000€,,,,,,,,,
Agenție,Apartament cu 1 cameră,Apartament cu living,45 m²,Construcţii noi,4,9,Variantă albă,1,Deschis,53 000€,1,,,,,,,,
Persoană fizică,Apartament cu 1 cameră,,37 m²,Secundar,1,9,,,,250MDL,,,,,Fără copii,Fără animale,0 m²,0 m²,0 cm
Agenție,Apartament cu 2 camere,Apartament cu living,67 m²,Construcţii noi,7,11,Variantă albă,2,Deschis,125 000€,1,,Exfactor-grup,Cărămidă,,,,,280 cm
Dezvoltator imobiliar,Apartament cu 4 camere,Apartament cu living,120 m²,Construcţii noi,12,17,Design individual,2,,330 000€,1,,,Combinat,,,107 m²,36 m²,3000 cm
Dezvoltator imobiliar,Apartament cu 2 camere,,30 m²,Secundar,1,2,,,,25 500€,,,,,,,,,
Agenție,Apartament cu 2 camere,,50 m²,Construcţii noi,12,16,Euroreparație,1,,600€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Agenție,Apartament cu 3 camere,,91 m²,Construcţii noi,8,9,Euroreparație,2,Deschis,2 000€,1,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
Dezvoltator imobiliar,Apartament cu 1 cameră,,46 m²,Construcţii noi,2,7,Euroreparație,,,720€,,,,,Cu acordul stăpânului,Cu acordul stăpânului,,,
