animals,author_of_the_announcement,balcony_loggia,compartmentalization,children,developer,floor,housing_fund,bathroom,ceiling_height,living_room,parking_spot,number_of_rooms,number_of_floors,apartment_condition,kitchen_area,living_area,total_area,building_type,price,region,is_penthouse
,Dezvoltator imobiliar,,Individuală,,,4.0,Secundar,1.0,,,,2,5.0,,,,23,,43500,Chișinău_Botanica,0
,Persoană fizică,,Individuală,,,11.0,Construcţii noi,1.0,,Apartament cu living,,3,16.0,Euroreparație,,80 m²,80,,168000,Chișinău_Centru,0
Se acceptă animale,Agenție,Nu,Individuală,Se acceptă copii,Inamstro,6.0,Construcţii noi,1.0,3.0,Apartament cu living,Deschis,2,12.0,Euroreparație,,43 m²,43,Beton celular,169900,Chișinău_Centru,0
Se acceptă animale,Agenție,1,Individuală,Se acceptă copii,,16.0,Construcţii noi,2.0,,Apartament cu living,Deschis,4,16.0,Euroreparație,,,81,,124900,Chișinău_Ciocana,0
,Dezvoltator imobiliar,1,Ms (serie  moldovenească),,,7.0,Secundar,2.0,,,Deschis,3,9.0,Euroreparație,,,52,,102900,Chișinău_Botanica,0
,Agenție,1,Individuală,,,5.0,Construcţii noi,1.0,,,Deschis,3,9.0,Euroreparație,,,64,Combinat,155900,Chișinău_Râșcani,0
,Dezvoltator imobiliar,,Individuală,,,8.0,Construcţii noi,1.0,,Apartament cu living,,2,8.0,,,,42,,95900,Chișinău_Buiucani,0
,Agenție,,Individuală,,,7.0,Construcţii noi,1.0,,,,4,7.0,,,,76,,94240,Chișinău_Buiucani,0
,Agenție,1,Individuală,,,13.0,Construcţii noi,2.0,,Apartament cu living,Subterană,4,20.0,,,,95,Cărămidă,229000,Chișinău_Ciocana,0
,Persoană fizică,,Individuală,,,9.0,Secundar,1.0,2.6,Apartament cu living,Deschis,2,16.0,Euroreparație,14 m²,14 m²,33,Beton celular,65000,Chișinău_Ciocana,0
,Dezvoltator imobiliar,1,Individuală,,,3.0,Construcţii noi,2.0,,Apartament cu living,Subterană,3,8.0,Variantă albă,,,83,Beton,77190,Comrat_Centru,0
,Agenție,Nu,Individuală,,Inamstro,9.0,Construcţii noi,1.0,,,Deschis,2,11.0,Variantă albă,,,55,Cărămidă,105000,Chișinău_Buiucani,0
,Agenție,,Individuală,,,14.0,Construcţii noi,1.0,,,,2,15.0,,,,54,,93800,Chișinău_Râșcani,0
